date,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,ball_1_mean,ball_1_ustd,ball_1_dstd,ball_1_ystd,ball_2_mean,ball_2_ustd,ball_2_dstd,ball_2_ystd,ball_3_mean,ball_3_ustd,ball_3_dstd,ball_3_ystd,ball_4_mean,ball_4_ustd,ball_4_dstd,ball_4_ystd,ball_5_mean,ball_5_ustd,ball_5_dstd,ball_5_ystd,ball_6_mean,ball_6_ustd,ball_6_dstd,ball_6_ystd,year,month,day,ball_1_rolling_2,ball_2_rolling_2,ball_3_rolling_2,ball_4_rolling_2,ball_5_rolling_2,ball_6_rolling_2,ball_1_rolling_10,ball_2_rolling_10,ball_3_rolling_10,ball_4_rolling_10,ball_5_rolling_10,ball_6_rolling_10,ball_1_rolling_20,ball_2_rolling_20,ball_3_rolling_20,ball_4_rolling_20,ball_5_rolling_20,ball_6_rolling_20,ball_1_rolling_30,ball_2_rolling_30,ball_3_rolling_30,ball_4_rolling_30,ball_5_rolling_30,ball_6_rolling_30,ball_1_rolling_50,ball_2_rolling_50,ball_3_rolling_50,ball_4_rolling_50,ball_5_rolling_50,ball_6_rolling_50,ball_1_rolling_100,ball_2_rolling_100,ball_3_rolling_100,ball_4_rolling_100,ball_5_rolling_100,ball_6_rolling_100,ball_1_ratio_2,ball_2_ratio_2,ball_3_ratio_2,ball_4_ratio_2,ball_5_ratio_2,ball_6_ratio_2,ball_1_ratio_10,ball_2_ratio_10,ball_3_ratio_10,ball_4_ratio_10,ball_5_ratio_10,ball_6_ratio_10,ball_1_ratio_20,ball_2_ratio_20,ball_3_ratio_20,ball_4_ratio_20,ball_5_ratio_20,ball_6_ratio_20,ball_1_ratio_30,ball_2_ratio_30,ball_3_ratio_30,ball_4_ratio_30,ball_5_ratio_30,ball_6_ratio_30,ball_1_ratio_50,ball_2_ratio_50,ball_3_ratio_50,ball_4_ratio_50,ball_5_ratio_50,ball_6_ratio_50,ball_1_ratio_100,ball_2_ratio_100,ball_3_ratio_100,ball_4_ratio_100,ball_5_ratio_100,ball_6_ratio_100,ball_1_tomorrow,ball_1_target,2_rfrnce,5_rfrnce,10_rfrnce,20_rfrnce,30_rfrnce,50_rfrnce,60_rfrnce,ball_1_rfrnce_2,ball_1_rfrnce_5,ball_1_rfrnce_10,ball_1_rfrnce_20,ball_1_rfrnce_30,ball_1_rfrnce_50,ball_1_rfrnce_60
2014-04-01,10,23,68,74,75,9,11.534534534534536,20.684303757602077,2.384765311466996,-1.5345345345345347,23.40940940940941,35.4026320347296,11.416186784089222,-0.4094094094094096,35.068068068068065,48.14608037029307,21.99005576584306,32.931931931931935,47.17117117117117,59.87727895068549,34.465063391656855,26.828828828828826,59.61561561561562,70.38094369631439,48.850287534916845,15.384384384384385,11.75975975975976,19.518144570867,4.001374948652518,-2.75975975975976,2014,4,1,11.5,13.5,17.0,45.0,58.0,12.0,14.6,24.7,34.5,45.7,58.2,8.0,11.8,23.0,38.1,47.55,61.6,7.3,12.766666666666667,23.966666666666665,36.333333333333336,45.9,59.2,11.933333333333334,12.06,23.36,34.08,44.82,56.96,14.16,10.81,21.48,33.28,43.94,55.68,15.26,0.8695652173913043,1.7037037037037035,4.0,1.6444444444444444,1.293103448275862,0.75,0.684931506849315,0.931174089068826,1.9710144927536235,1.6192560175054704,1.2886597938144329,1.125,0.847457627118644,1.0,1.784776902887139,1.5562565720294428,1.2175324675324677,1.2328767123287672,0.7832898172323759,0.9596662030598052,1.8715596330275228,1.6122004357298476,1.266891891891892,0.7541899441340782,0.8291873963515755,0.9845890410958904,1.995305164319249,1.6510486390004462,1.3167134831460674,0.635593220338983,0.9250693802035151,1.0707635009310987,2.043269230769231,1.6841147018661813,1.3469827586206895,0.5897771952817824,17.0,1,2,5,10,20,30,50,60,1,1,0,0,0,0,0
2014-04-04,1,10,15,41,54,9,11.534534534534536,20.684303757602077,2.384765311466996,-10.534534534534536,23.40940940940941,35.4026320347296,11.416186784089222,-13.40940940940941,35.068068068068065,48.14608037029307,21.99005576584306,-20.068068068068065,47.17117117117117,59.87727895068549,34.465063391656855,-6.171171171171174,59.61561561561562,70.38094369631439,48.850287534916845,-5.615615615615617,11.75975975975976,19.518144570867,4.001374948652518,-2.75975975975976,2014,4,4,13.5,24.5,51.5,60.0,68.5,9.0,14.1,24.2,35.3,45.3,57.9,8.5,12.3,23.0,40.3,49.75,61.45,7.3,13.233333333333333,23.866666666666667,37.93333333333333,47.5,60.266666666666666,10.866666666666667,12.1,23.44,34.78,45.52,57.34,14.14,11.02,21.68,34.0,44.64,56.23,14.85,0.074074074074074,0.4081632653061224,0.2912621359223301,0.6833333333333333,0.7883211678832117,1.0,0.0709219858156028,0.4132231404958678,0.4249291784702549,0.9050772626931568,0.932642487046632,1.0588235294117647,0.08130081300813,0.4347826086956521,0.3722084367245657,0.8241206030150754,0.8787632221318145,1.2328767123287672,0.0755667506297229,0.4189944134078212,0.3954305799648506,0.8631578947368421,0.8960176991150443,0.8282208588957055,0.0826446280991735,0.4266211604095563,0.4312823461759631,0.9007029876977152,0.9417509591907915,0.6364922206506365,0.0907441016333938,0.4612546125461255,0.4411764705882353,0.9184587813620072,0.960341454739463,0.6060606060606061,3.0,1,2,5,10,20,30,50,60,0,0,0,0,0,0,0
2014-04-08,35,36,41,60,71,3,11.534534534534536,20.684303757602077,2.384765311466996,23.465465465465464,23.40940940940941,35.4026320347296,11.416186784089222,12.59059059059059,35.068068068068065,48.14608037029307,21.99005576584306,5.931931931931935,47.17117117117117,59.87727895068549,34.465063391656855,12.828828828828826,59.61561561561562,70.38094369631439,48.850287534916845,11.384384384384385,11.75975975975976,19.518144570867,4.001374948652518,-8.75975975975976,2014,4,8,2.0,13.0,33.5,47.5,57.5,7.5,11.6,22.1,36.3,47.9,60.1,8.6,10.9,21.2,38.6,48.6,61.05,7.7,11.7,22.166666666666668,37.06666666666667,47.1,60.13333333333333,10.0,11.84,23.18,34.5,45.64,57.34,14.12,10.95,21.6,34.21,44.57,56.28,14.91,17.5,2.769230769230769,1.2238805970149254,1.263157894736842,1.2347826086956522,0.4,3.0172413793103448,1.6289592760180995,1.1294765840220389,1.2526096033402925,1.1813643926788686,0.3488372093023256,3.2110091743119265,1.69811320754717,1.0621761658031088,1.2345679012345678,1.162981162981163,0.3896103896103896,2.9914529914529915,1.6240601503759398,1.106115107913669,1.2738853503184713,1.180709534368071,0.3,2.956081081081081,1.553062985332183,1.1884057971014492,1.3146362839614374,1.238228113010115,0.2124645892351274,3.1963470319634704,1.6666666666666663,1.198479976615025,1.3461969934933813,1.2615493958777542,0.2012072434607645,3.0,0,2,5,10,20,30,50,60,1,1,1,1,1,0,0
2014-04-11,3,42,44,47,57,8,11.534534534534536,20.684303757602077,2.384765311466996,-8.534534534534535,23.40940940940941,35.4026320347296,11.416186784089222,18.59059059059059,35.068068068068065,48.14608037029307,21.99005576584306,8.931931931931935,47.17117117117117,59.87727895068549,34.465063391656855,-0.1711711711711743,59.61561561561562,70.38094369631439,48.850287534916845,-2.615615615615617,11.75975975975976,19.518144570867,4.001374948652518,-3.75975975975976,2014,4,11,19.0,28.0,37.5,59.0,69.0,4.5,12.7,20.9,35.7,50.9,61.3,8.3,12.15,21.25,38.55,49.85,62.05,7.05,11.866666666666667,22.166666666666668,37.23333333333333,47.4,60.96666666666667,8.966666666666667,12.24,23.46,34.86,46.46,57.9,13.74,11.26,21.86,34.49,45.23,56.8,14.41,0.1578947368421052,1.5,1.1733333333333331,0.7966101694915254,0.8260869565217391,1.7777777777777777,0.2362204724409449,2.009569377990431,1.2324929971988794,0.9233791748526524,0.929853181076672,0.9638554216867468,0.2469135802469135,1.9764705882352944,1.1413748378728923,0.9428284854563692,0.918614020950846,1.1347517730496457,0.2528089887640449,1.894736842105263,1.1817367949865711,0.9915611814345991,0.9349371241115364,0.8921933085501859,0.2450980392156862,1.7902813299232736,1.262191623637407,1.0116229014205769,0.9844559585492229,0.5822416302765647,0.2664298401420959,1.9213174748398905,1.2757320962597851,1.0391333185938536,1.0035211267605637,0.5551700208188758,16.0,1,2,5,10,20,30,50,60,1,0,0,0,0,0,0
2014-04-15,4,39,46,47,70,13,11.534534534534536,20.684303757602077,2.384765311466996,-7.534534534534535,23.40940940940941,35.4026320347296,11.416186784089222,15.59059059059059,35.068068068068065,48.14608037029307,21.99005576584306,10.931931931931937,47.17117117117117,59.87727895068549,34.465063391656855,-0.1711711711711743,59.61561561561562,70.38094369631439,48.850287534916845,10.384384384384385,11.75975975975976,19.518144570867,4.001374948652518,1.2402402402402402,2014,4,15,9.5,35.5,45.0,47.5,56.0,5.0,11.1,22.9,36.9,51.8,61.8,7.6,12.5,23.75,37.8,48.3,60.6,7.45,11.7,23.266666666666666,38.63333333333333,48.66666666666666,60.6,8.366666666666667,12.22,24.02,35.66,46.34,57.92,12.76,11.32,22.23,34.8,45.3,57.01,13.8,0.4210526315789473,1.0985915492957747,1.022222222222222,0.9894736842105264,1.25,2.6,0.3603603603603604,1.7030567685589522,1.2466124661246614,0.9073359073359074,1.132686084142395,1.7105263157894737,0.32,1.6421052631578947,1.216931216931217,0.9730848861283644,1.155115511551155,1.74496644295302,0.3418803418803419,1.67621776504298,1.190681622088007,0.9657534246575344,1.155115511551155,1.5537848605577689,0.3273322422258592,1.6236469608659452,1.2899607403252946,1.0142425550280534,1.2085635359116025,1.0188087774294672,0.3533568904593639,1.7543859649122806,1.3218390804597702,1.0375275938189843,1.2278547623223997,0.9420289855072465,2.0,0,2,5,10,20,30,50,60,1,0,0,0,0,0,0
2014-04-18,18,25,38,45,63,9,11.534534534534536,20.684303757602077,2.384765311466996,6.465465465465465,23.40940940940941,35.4026320347296,11.416186784089222,1.5905905905905904,35.068068068068065,48.14608037029307,21.99005576584306,2.931931931931935,47.17117117117117,59.87727895068549,34.465063391656855,-2.1711711711711743,59.61561561561562,70.38094369631439,48.850287534916845,3.384384384384383,11.75975975975976,19.518144570867,4.001374948652518,-2.75975975975976,2014,4,18,3.0,35.5,40.5,48.5,64.5,8.0,9.4,27.3,41.6,52.5,63.1,6.8,12.0,26.0,38.05,49.1,60.65,7.4,11.0,24.433333333333334,39.266666666666666,49.2,62.1,7.133333333333334,11.82,24.6,36.06,46.66,58.46,11.94,11.27,22.68,35.07,45.65,57.33,13.9,6.0,0.704225352112676,0.9382716049382716,0.9278350515463918,0.9767441860465116,1.125,1.9148936170212765,0.9157509157509156,0.9134615384615384,0.8571428571428571,0.9984152139461172,1.3235294117647058,1.5,0.9615384615384616,0.9986859395532196,0.9164969450101832,1.038746908491344,1.2162162162162162,1.6363636363636365,1.0231923601637107,0.967741935483871,0.9146341463414632,1.0144927536231885,1.2616822429906542,1.5228426395939083,1.016260162601626,1.0537992235163616,0.9644234890698672,1.077659938419432,0.7537688442211056,1.5971606033717836,1.1022927689594355,1.0835471913316224,0.9857612267250822,1.098901098901099,0.6474820143884892,11.0,0,2,5,10,20,30,50,60,1,1,1,0,0,0,0
2014-04-22,2,18,19,49,50,1,11.534534534534536,20.684303757602077,2.384765311466996,-9.534534534534536,23.40940940940941,35.4026320347296,11.416186784089222,-5.40940940940941,35.068068068068065,48.14608037029307,21.99005576584306,-16.068068068068065,47.17117117117117,59.87727895068549,34.465063391656855,1.8288288288288257,59.61561561561562,70.38094369631439,48.850287534916845,-9.615615615615615,11.75975975975976,19.518144570867,4.001374948652518,-10.75975975975976,2014,4,22,14.5,31.0,42.0,54.5,65.5,12.0,9.6,28.6,39.7,51.4,62.5,7.4,11.85,26.4,37.5,48.35,60.2,7.95,11.4,24.866666666666667,40.1,50.3,61.8,7.333333333333333,12.16,24.94,36.62,47.4,59.28,11.5,11.47,22.88,35.35,46.06,57.76,13.63,0.1379310344827586,0.5806451612903226,0.4523809523809524,0.8990825688073395,0.7633587786259542,0.0833333333333333,0.2083333333333333,0.6293706293706294,0.4785894206549118,0.953307392996109,0.8,0.1351351351351351,0.1687763713080168,0.6818181818181819,0.5066666666666667,1.0134436401240952,0.8305647840531561,0.1257861635220125,0.175438596491228,0.7238605898123325,0.4738154613466334,0.974155069582505,0.8090614886731392,0.1363636363636363,0.1644736842105263,0.7217321571772253,0.5188421627525942,1.0337552742616034,0.8434547908232118,0.0869565217391304,0.1743679163034001,0.7867132867132868,0.5374823196605375,1.0638297872340423,0.8656509695290859,0.0733675715333822,21.0,1,2,5,10,20,30,50,60,0,0,0,0,0,0,0
2014-04-25,3,11,18,20,66,9,11.534534534534536,20.684303757602077,2.384765311466996,-8.534534534534535,23.40940940940941,35.4026320347296,11.416186784089222,-12.40940940940941,35.068068068068065,48.14608037029307,21.99005576584306,-17.068068068068065,47.17117117117117,59.87727895068549,34.465063391656855,-27.17117117117117,59.61561561561562,70.38094369631439,48.850287534916845,6.384384384384383,11.75975975975976,19.518144570867,4.001374948652518,-2.75975975975976,2014,4,25,11.5,24.5,31.0,52.5,55.0,6.5,11.5,30.9,39.2,52.4,62.0,7.2,11.55,26.5,37.75,50.15,61.05,7.9,11.1,24.433333333333334,38.8,49.86666666666667,61.36666666666667,7.533333333333333,11.68,24.48,36.22,47.72,59.3,10.78,11.61,22.94,35.22,46.2,57.8,13.64,0.2608695652173913,0.4489795918367347,0.5806451612903226,0.3809523809523809,1.2,1.3846153846153846,0.2608695652173913,0.3559870550161812,0.4591836734693877,0.3816793893129771,1.064516129032258,1.25,0.2597402597402597,0.4150943396226415,0.4768211920529801,0.3988035892323031,1.0810810810810811,1.1392405063291138,0.2702702702702703,0.4502046384720327,0.4639175257731959,0.4010695187165775,1.075502444323737,1.1946902654867255,0.2568493150684932,0.4493464052287582,0.4969630038652678,0.4191114836546522,1.1129848229342327,0.8348794063079777,0.2583979328165375,0.4795117698343504,0.5110732538330495,0.4329004329004329,1.1418685121107266,0.6598240469208211,5.0,1,2,5,10,20,30,50,60,1,0,0,0,0,0,0
2014-04-29,7,43,59,61,66,3,11.534534534534536,20.684303757602077,2.384765311466996,-4.534534534534535,23.40940940940941,35.4026320347296,11.416186784089222,19.59059059059059,35.068068068068065,48.14608037029307,21.99005576584306,23.93193193193193,47.17117117117117,59.87727895068549,34.465063391656855,13.828828828828826,59.61561561561562,70.38094369631439,48.850287534916845,6.384384384384383,11.75975975975976,19.518144570867,4.001374948652518,-8.75975975975976,2014,4,29,4.0,23.0,27.5,30.5,66.0,10.0,8.5,29.9,37.2,46.7,61.4,8.3,10.6,25.4,36.45,48.8,61.35,8.3,10.933333333333334,24.133333333333333,38.1,48.8,61.833333333333336,7.466666666666667,11.54,24.66,36.3,47.38,59.96,11.06,11.61,23.21,35.13,45.75,57.81,13.55,1.75,1.8695652173913044,2.145454545454545,2.0,1.0,0.3,0.8235294117647058,1.4381270903010035,1.586021505376344,1.3062098501070665,1.0749185667752443,0.36144578313253,0.6603773584905661,1.6929133858267718,1.6186556927297666,1.25,1.075794621026895,0.36144578313253,0.6402439024390244,1.781767955801105,1.548556430446194,1.25,1.0673854447439353,0.4017857142857143,0.6065857885615252,1.7437145174371451,1.62534435261708,1.287463064584213,1.1007338225483656,0.2712477396021699,0.6029285099052542,1.852649719948298,1.6794762311414744,1.3333333333333333,1.1416709911779968,0.2214022140221402,2.0,0,2,5,10,20,30,50,60,1,1,0,0,0,0,0
2014-05-02,1,18,26,35,40,13,11.534534534534536,20.684303757602077,2.384765311466996,-10.534534534534536,23.40940940940941,35.4026320347296,11.416186784089222,-5.40940940940941,35.068068068068065,48.14608037029307,21.99005576584306,-9.068068068068063,47.17117117117117,59.87727895068549,34.465063391656855,-12.171171171171174,59.61561561561562,70.38094369631439,48.850287534916845,-19.615615615615617,11.75975975975976,19.518144570867,4.001374948652518,1.2402402402402402,2014,5,2,4.5,28.5,40.0,44.5,60.5,3.0,7.5,28.5,36.2,46.1,62.3,7.9,9.3,25.7,36.55,48.95,62.05,7.75,10.833333333333334,25.33333333333333,37.266666666666666,47.56666666666667,61.16666666666666,7.6,11.64,25.4,37.32,47.2,60.24,10.2,11.18,23.1,34.94,45.49,57.81,13.53,0.2222222222222222,0.631578947368421,0.65,0.7865168539325843,0.6611570247933884,4.333333333333333,0.1333333333333333,0.631578947368421,0.718232044198895,0.7592190889370932,0.6420545746388443,1.6455696202531644,0.1075268817204301,0.7003891050583658,0.7113543091655268,0.7150153217568948,0.6446414182111201,1.6774193548387095,0.0923076923076923,0.7105263157894737,0.6976744186046512,0.7358093903293622,0.6539509536784741,1.7105263157894737,0.0859106529209622,0.7086614173228347,0.6966773847802786,0.7415254237288135,0.6640106241699867,1.2745098039215688,0.0894454382826475,0.7792207792207791,0.7441327990841443,0.7693998681028797,0.6919218128351496,0.9608277900960828,3.0,1,2,5,10,20,30,50,60,0,0,0,0,0,0,0
