date,ball_1,IDs,year,month,day,2_rfrnce,ball_1_rfrnce_2
2013-05-17,11.0,1.0,2013.0,5.0,17.0,2.0,1.0
2013-05-21,2.0,2.0,2013.0,5.0,21.0,2.0,0.0
2013-05-24,4.0,3.0,2013.0,5.0,24.0,2.0,1.0
2013-05-28,4.0,4.0,2013.0,5.0,28.0,2.0,1.0
2013-05-31,2.0,5.0,2013.0,5.0,31.0,2.0,0.0
2013-06-04,10.0,6.0,2013.0,6.0,4.0,2.0,1.0
2013-06-07,1.0,7.0,2013.0,6.0,7.0,2.0,0.0
2013-06-11,15.0,8.0,2013.0,6.0,11.0,2.0,1.0
2013-06-14,2.0,9.0,2013.0,6.0,14.0,2.0,0.0
2013-06-18,6.0,10.0,2013.0,6.0,18.0,2.0,1.0
2013-06-21,3.0,11.0,2013.0,6.0,21.0,2.0,1.0
2013-06-25,3.0,12.0,2013.0,6.0,25.0,2.0,1.0
2013-06-28,8.0,13.0,2013.0,6.0,28.0,2.0,1.0
2013-07-02,36.0,14.0,2013.0,7.0,2.0,2.0,1.0
2013-07-05,2.0,15.0,2013.0,7.0,5.0,2.0,0.0
2013-07-09,3.0,16.0,2013.0,7.0,9.0,2.0,1.0
2013-07-12,4.0,17.0,2013.0,7.0,12.0,2.0,1.0
2013-07-16,10.0,18.0,2013.0,7.0,16.0,2.0,1.0
2013-07-19,16.0,19.0,2013.0,7.0,19.0,2.0,1.0
2013-07-23,25.0,20.0,2013.0,7.0,23.0,2.0,1.0
2013-07-26,4.0,21.0,2013.0,7.0,26.0,2.0,1.0
2013-07-30,25.0,22.0,2013.0,7.0,30.0,2.0,1.0
2013-08-02,8.0,23.0,2013.0,8.0,2.0,2.0,1.0
2013-08-06,1.0,24.0,2013.0,8.0,6.0,2.0,0.0
2013-08-09,11.0,25.0,2013.0,8.0,9.0,2.0,1.0
2013-08-13,2.0,26.0,2013.0,8.0,13.0,2.0,0.0
2013-08-16,7.0,27.0,2013.0,8.0,16.0,2.0,1.0
2013-08-20,13.0,28.0,2013.0,8.0,20.0,2.0,1.0
2013-08-23,1.0,29.0,2013.0,8.0,23.0,2.0,0.0
2013-08-27,4.0,30.0,2013.0,8.0,27.0,2.0,1.0
2013-08-30,6.0,31.0,2013.0,8.0,30.0,2.0,1.0
2013-09-03,4.0,32.0,2013.0,9.0,3.0,2.0,1.0
2013-09-06,2.0,33.0,2013.0,9.0,6.0,2.0,0.0
2013-09-10,2.0,34.0,2013.0,9.0,10.0,2.0,0.0
2013-09-13,9.0,35.0,2013.0,9.0,13.0,2.0,1.0
2013-09-17,6.0,36.0,2013.0,9.0,17.0,2.0,1.0
2013-09-20,1.0,37.0,2013.0,9.0,20.0,2.0,0.0
2013-09-24,4.0,38.0,2013.0,9.0,24.0,2.0,1.0
2013-09-27,9.0,39.0,2013.0,9.0,27.0,2.0,1.0
2013-10-01,7.0,40.0,2013.0,10.0,1.0,2.0,1.0
2013-10-04,4.0,41.0,2013.0,10.0,4.0,2.0,1.0
2013-10-08,6.0,42.0,2013.0,10.0,8.0,2.0,1.0
