date,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6
2022-12-09,8,19,53,61,69,19
2022-06-14,30,37,38,42,58,22
2022-12-06,15,16,19,28,47,13
2022-06-10,3,12,14,18,32,4
2022-12-02,1,21,36,46,52,16
2022-06-07,4,34,40,41,53,3
2022-11-29,20,23,37,46,52,6
2022-06-03,11,16,22,48,59,11
2022-11-25,29,31,46,54,67,18
2022-05-31,6,15,41,63,64,24
2022-11-22,13,23,24,25,43,2
2022-05-27,3,14,40,53,54,8
2022-11-18,2,14,16,38,66,9
2022-05-24,3,5,6,63,68,25
2022-11-15,6,19,28,46,61,18
2022-05-20,33,40,59,60,69,22
2022-11-11,1,5,17,37,70,22
2022-05-17,7,21,24,41,65,24
2022-11-08,5,13,29,38,59,23
2022-05-13,11,41,43,44,65,13
2022-11-04,2,20,47,55,59,19
2022-05-10,15,19,20,61,70,9
2022-11-01,5,9,15,16,17,25
2022-05-06,16,21,33,52,70,10
2022-10-28,4,18,31,53,69,7
2022-05-03,15,19,27,35,57,17
2022-10-25,21,30,35,45,66,21
2022-04-29,9,11,34,49,66,15
2022-10-21,34,36,43,45,68,22
2022-04-26,5,7,19,46,69,2
2022-10-18,1,15,20,44,67,23
2022-04-22,7,28,29,58,59,10
2022-10-14,9,22,26,41,44,19
2022-04-19,2,9,33,47,53,24
2022-10-11,3,7,11,13,38,1
2022-04-15,4,17,20,46,64,23
2022-10-07,6,11,29,36,55,21
2022-04-12,2,8,14,20,31,17
2022-10-04,15,18,25,33,38,25
2022-04-08,8,11,29,32,40,2
2022-09-30,16,26,37,40,51,6
2022-04-05,22,43,60,63,64,18
2022-09-27,8,14,24,43,51,9
2022-04-01,26,42,47,48,63,21
2022-09-23,5,50,53,58,64,22
2022-03-29,7,22,36,45,47,12
2022-09-20,9,21,28,30,52,10
2022-03-25,3,13,42,51,58,17
2022-09-16,15,30,35,38,66,12
2022-03-22,8,15,21,27,61,8
2022-09-13,14,25,38,59,64,21
2022-03-18,2,6,25,40,45,5
2022-09-09,16,21,54,55,69,22
2022-03-15,9,14,28,59,60,24
2022-09-06,6,17,46,59,68,2
2022-03-11,24,28,39,44,66,25
2022-09-02,39,40,52,60,67,20
2022-03-08,7,18,38,58,64,24
2022-08-30,2,38,55,57,65,17
2022-03-04,11,19,28,46,47,5
2022-08-26,6,27,30,38,64,23
2022-03-01,18,22,38,39,50,18
2022-08-23,3,5,47,48,67,7
2022-02-25,15,31,40,56,66,4
2022-08-19,12,18,24,46,65,3
2022-02-22,6,17,22,57,62,3
2022-08-16,33,35,41,45,51,1
2022-02-18,6,11,50,63,68,17
2022-08-12,23,24,50,54,64,3
2022-02-15,2,4,15,21,63,19
2022-08-09,1,8,10,25,32,13
2022-02-11,11,16,23,24,30,24
2022-08-05,2,5,29,64,69,18
2022-02-08,1,17,20,52,54,2
2022-08-02,10,14,25,37,63,14
2022-02-04,7,16,34,44,61,24
2022-07-29,13,36,45,57,67,14
2022-02-01,11,24,38,62,66,1
2022-07-26,7,29,60,63,66,15
2022-01-28,3,16,25,44,55,13
2022-07-22,14,40,60,64,66,16
2022-01-25,3,12,38,53,58,13
2022-07-19,2,31,32,37,70,25
2022-01-21,38,45,46,55,67,18
2022-07-15,8,20,26,53,64,15
2022-01-18,4,19,39,42,52,9
2022-07-12,4,7,10,45,64,12
2022-01-14,5,8,13,22,48,25
2022-07-08,20,36,61,62,69,20
2022-01-11,2,3,19,52,58,16
2022-07-05,27,31,50,51,61,21
2022-01-07,7,29,43,56,57,6
2022-07-01,1,27,29,38,62,12
2022-01-04,4,6,16,21,22,1
2022-06-28,7,12,21,43,55,11
2021-12-31,2,5,30,46,61,8
2022-06-24,1,7,11,25,56,14
2021-12-28,3,5,8,31,38,4
2022-06-21,8,13,18,32,42,20
2021-12-24,16,17,25,36,37,16
2022-06-17,20,36,53,56,69,16
2021-12-21,25,31,58,64,67,24
2021-12-17,21,32,38,48,62,10
2021-06-22,1,26,48,51,59,25
2021-12-14,33,35,44,55,69,20
2021-06-18,14,36,44,46,53,18
2021-12-10,23,25,40,42,60,8
2021-06-15,18,22,27,38,52,11
2021-12-07,1,7,40,43,68,1
2021-06-11,4,43,56,63,68,13
2021-12-03,22,45,48,58,61,13
2021-06-08,9,22,39,41,54,19
